data,feriado
2015-09-07,Independência do Brasil
2015-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2015-11-02,Finados
2015-11-15,Proclamação da República
2015-12-25,Natal
2016-01-01,Confraternização Universal
2016-02-08,Carnaval
2016-02-09,Carnaval
2016-03-25,Paixão de Cristo
2016-04-21,Tiradentes
2016-05-01,Dia do Trabalho
2016-05-26,Corpus Christi
2016-09-07,Independência do Brasil
2016-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2016-11-02,Finados
2016-11-15,Proclamação da República
2016-12-25,Natal
2017-01-01,Confraternização Universal
2017-02-27,Carnaval
2017-02-28,Carnaval
2017-04-14,Paixão de Cristo
2017-04-21,Tiradentes
2017-05-01,Dia do Trabalho
2017-06-15,Corpus Christi
2017-09-07,Independência do Brasil
2017-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2017-11-02,Finados
2017-11-15,Proclamação da República
2017-12-25,Natal
2018-01-01,Confraternização Universal
2018-02-12,Carnaval
2018-02-13,Carnaval
2018-03-30,Paixão de Cristo
2018-04-21,Tiradentes
2018-05-01,Dia do Trabalho
2018-05-31,Corpus Christi
2018-09-07,Independência do Brasil
2018-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2018-11-02,Finados
2018-11-15,Proclamação da República
2018-12-25,Natal
2019-01-01,Confraternização Universal
2019-03-04,Carnaval
2019-03-05,Carnaval
2019-04-19,Paixão de Cristo
2019-04-21,Tiradentes
2019-05-01,Dia do Trabalho
2019-06-20,Corpus Christi
2019-09-07,Independência do Brasil
2019-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2019-11-02,Finados
2019-11-15,Proclamação da República
2019-12-25,Natal
2020-01-01,Confraternização Universal
2020-02-24,Carnaval
2020-02-25,Carnaval
2020-04-10,Paixão de Cristo
2020-04-21,Tiradentes
2020-05-01,Dia do Trabalho
2020-06-11,Corpus Christi
2020-09-07,Independência do Brasil
2020-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2020-11-02,Finados
2020-11-15,Proclamação da República
2020-12-25,Natal
2021-01-01,Confraternização Universal
2021-02-15,Carnaval
2021-02-16,Carnaval
2021-04-02,Paixão de Cristo
2021-04-21,Tiradentes
2021-05-01,Dia do Trabalho
2021-06-03,Corpus Christi
2021-09-07,Independência do Brasil
2021-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2021-11-02,Finados
2021-11-15,Proclamação da República
2021-12-25,Natal
2022-01-01,Confraternização Universal
2022-02-28,Carnaval
2022-03-01,Carnaval
2022-04-15,Paixão de Cristo
2022-04-21,Tiradentes
2022-05-01,Dia do Trabalho
2022-06-16,Corpus Christi
2022-09-07,Independência do Brasil
2022-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil
2022-11-02,Finados
2022-11-15,Proclamação da República
2022-12-25,Natal
